resample,optimism,max_rhat,n_divergences
0,-0.0935672514619883,1.000532020896339,8
1,-0.05555555555555558,1.0007114026323871,9
2,-0.0896825396825397,1.0011870121893134,3
3,0.044159544159544206,1.0023222735357369,21
4,-0.05297157622739024,1.0020466684716807,0
5,0.11069340016708429,1.0010825025122128,2
6,-0.24747474747474751,1.000620263099046,12
7,0.032367149758454006,1.0010339595775846,1
8,0.03743961352656999,1.0006650184405697,0
9,0.020467836257309857,1.0011250910101517,3
10,0.287118977384464,1.0012058189633302,0
11,0.11246612466124661,1.0011142172042118,12
12,0.1333333333333333,1.0017386267911281,25
13,-0.039682539682539764,1.0004785973169223,3
14,-0.0992063492063493,1.0014412989080583,2
15,0.17254273504273498,1.0008589929613239,5
16,-0.0037285607755407346,1.0013790394708566,4
17,0.09477124183006536,1.0015083524256194,0
18,-0.04444444444444451,1.0013382065365484,1
19,-0.06715506715506725,1.0016314757774751,8
20,0.16214470284237725,1.0007875145079124,2
21,0.07902973395931134,1.001453617840625,5
22,-0.013366750208855471,1.0009847548143724,0
23,0.052350427350427275,1.0012098265724687,1
24,-0.0628654970760234,1.0012408323684137,1
25,0.06850053937432576,1.0004946615391033,0
26,0.024024024024023927,1.0010131462492213,0
27,0.0444444444444444,1.000853991957273,6
28,-0.021847690387016283,1.0004071325515584,33
29,-0.02373247033441217,1.0009744264254246,1
30,0.03539823008849563,1.0010777926836163,7
31,0.07219251336898391,1.002302473835758,4
32,-0.04444444444444451,1.0017948385467117,5
33,-0.020593869731800774,1.0005347902297448,8
34,0.002525252525252486,1.0013676136284013,1
35,0.10455588331694521,1.5253985454175594,2000
36,-0.037198067632850274,1.0006866031204606,2
37,-0.016516516516516533,1.0010251168995326,1
38,0.011695906432748537,1.0006748127975835,1
39,0.002962962962962945,1.0005885431813397,19
40,-0.013172966781214268,1.001119352704988,14
41,-0.08253968253968258,1.0009372987788854,2
42,0.13994708994709,1.0008711110387458,2
43,0.11728395061728392,1.0023158428816343,20
44,-0.03594771241830064,1.0012347635011447,6
45,-0.004214559386973238,1.0014876971070206,13
46,-0.01736111111111116,1.0007362945444997,1
47,0.12828282828282822,1.00170004319398,2
48,-0.09231411862990813,1.5252712757426858,2000
49,0.061821219715956555,1.0015015886713556,1
50,0.17611489040060468,1.0011932590232215,2
51,0.10373263888888884,1.0016265901982873,2
52,-0.11685823754789276,1.0010466712228727,5
53,0.020964360587002018,1.0012319171860486,6
54,-0.03584229390681004,1.0018154625311708,7
55,-0.016516516516516533,1.000559213083299,1
56,0.047712418300653536,1.0019579353057861,0
57,0.06912144702842371,1.0004278257106678,2
58,-0.07912457912457915,1.0011670816354163,50
59,0.14406779661016944,1.001498377234434,5
60,-0.10329861111111116,1.0015672216944094,5
61,-0.03869395711500978,1.0007214697782716,22
62,-0.09829059829059839,1.0008970141585347,2
63,-0.05050505050505061,1.000726717173494,0
64,0.06161616161616157,1.0013468558432406,2
65,0.0658119658119658,1.0007631119842402,2
66,0.03351698806244252,1.0008223083073866,0
67,0.10054533060668025,1.0021319045705734,0
68,0.06888888888888889,1.000919837066802,4
69,-0.009070294784580546,1.0006622517936248,0
70,0.09457671957671954,1.0002845609525808,7
71,-0.11111111111111116,1.0005860081495717,6
72,0.048463356973995175,1.000069121206463,2
73,-0.0565656565656566,1.0009166132858107,2
74,0.10675381263616562,1.0011229268179684,58
75,0.1581196581196581,1.00197870287347,1
76,-0.08796296296296302,1.0005720820481518,1
77,0.08212560386473422,1.0006242164359977,4
78,0.0888888888888888,1.000791980149651,4
79,-0.019561815336463284,1.0016679449390773,9
80,0.0037037037037036535,1.0013706270070624,4
81,-0.04037267080745344,1.5263891969508574,2006
82,-0.08703703703703708,1.0010227591297862,8
83,0.13372507122507127,1.0008021892199126,17
84,-0.03877703206562266,1.0007175079592356,2
85,-0.012054507337526221,1.0015289525894535,0
86,-0.0729431721798135,1.0009053812195166,5
87,-0.10185185185185186,1.5258473549477782,2052
88,-0.0899843505477309,1.0008539090599429,1
89,-0.12777777777777782,1.0010947353474773,6
90,0.09722222222222221,1.00050457589391,6
91,0.05790297339593109,1.00037408319938,13
92,0.12,1.000726395694323,6
93,0.0008680555555554692,1.0007154988750233,2
94,-0.03144654088050314,1.0014102816032817,117
95,0.28594771241830064,1.00056185865715,2
96,0.027180406212664265,1.0010374226148884,14
97,0.11965811965811957,1.001097596557301,1
98,0.15335169880624422,1.0008835002464287,5
99,0.05402650356778793,1.0013012839352287,1
